window_length,polyorder,amp,A11,A12,A21,A22,B1,B2,A_rel_error,B_rel_error,stable,complex_pair,fn_Hz,zeta,fn_Hz_baseline,zeta_baseline,fn_rel_dev_from_baseline,zeta_rel_dev_from_baseline
101,2,0.025,-2802373.4485031213,-2037974.5690931007,1639470.2316345228,-519594.0436470215,-2658614.288389216,2123114.6713152225,0.2754492283349896,0.10786265901721544,True,True,348592.7520082808,0.7583455825176234,364285.16493131575,0.7545887715722152,0.04307727690748458,0.004978620259059499
101,2,0.05,-2839824.270782471,-2025537.0002646828,1508345.052079914,-1313398.9732406354,-2634998.282710837,2329232.8414971004,0.08838927136871483,0.050807427458146814,True,True,414568.26076046616,0.7972221605169599,441544.8751574887,0.8119707005428363,0.0610959744180036,0.018163882041576523
101,2,0.1,-2993486.982600119,-2427911.918679316,1568739.6583761496,-1154964.015871636,-2526106.490811238,2361239.547603113,0.1435433312070124,0.04070226748213976,True,True,429014.28883692174,0.7694924152424484,462000.31725631584,0.7800510169409607,0.07139828088276744,0.01353578351826115
101,3,-0.1,-2964025.1365301185,-2181864.774429296,1573037.5913236854,-1684833.4240042246,-2605654.812097186,2574929.534051882,0.03234978613805737,0.022969122316999258,True,True,461989.3787486549,0.8007638851440457,461989.3787486549,0.8007638851440457,0.0,0.0
101,3,-0.05,-2853923.7956213406,-2037769.882100653,1594574.761054682,-1707574.994195801,-2696902.7418768816,2660909.623890874,0.034909542316766164,0.05689504106469876,True,True,453596.2041634908,0.8002548011242042,453596.2041634908,0.8002548011242042,0.0,0.0
101,3,-0.025,-2457359.6718980363,-2088389.950384431,1608117.4386276999,-1274473.2144379676,-1981096.6885730783,2380725.1433458296,0.13587304441298148,0.16792923153855843,True,True,405461.5592712833,0.7324241189728685,405461.5592712833,0.7324241189728685,0.0,0.0
101,3,0.025,-2772876.408261553,-2036529.246281526,1644656.9016363116,-681436.5997709495,-2627020.1849943437,2182918.2320012776,0.23832075580510745,0.08976086595974764,True,True,364285.16493131575,0.7545887715722152,364285.16493131575,0.7545887715722152,0.0,0.0
101,3,0.05,-2846544.814063412,-1986111.7342505115,1497914.4101534053,-1658769.2482929993,-2656006.8133938564,2452330.644370728,0.03730528958464181,0.02707084385652034,True,True,441544.8751574887,0.8119707005428363,441544.8751574887,0.8119707005428363,0.0,0.0
101,3,0.1,-2957888.148466665,-2452610.333074834,1541259.1207647962,-1570828.4631782733,-2470275.8976658448,2509531.0347725176,0.08110769413871362,0.028329463545249126,True,True,462000.31725631584,0.7800510169409607,462000.31725631584,0.7800510169409607,0.0,0.0
101,4,-0.1,-2943935.26867154,-2388216.948593652,1571645.4165324057,-1663007.9334087085,-2493692.621672499,2563900.41274389,0.06401850760984992,0.028058444445348857,True,True,468067.5693914826,0.7832392490980581,461989.3787486549,0.8007638851440457,0.01315655926829121,0.021884898121791813
101,4,-0.05,-2835535.82817586,-2131660.588418359,1600534.078026596,-1728642.3889816117,-2636003.385189305,2676186.580005855,0.028594723318856662,0.052322031855522214,True,True,458891.556506698,0.7914849533763028,453596.2041634908,0.8002548011242042,0.011674154886222567,0.010958819285534443
101,4,-0.025,-2466477.9076624126,-2076267.595576276,1610492.3824034245,-1229457.314998085,-1998306.6489463395,2364045.545793351,0.14236383933511965,0.16423909019399172,True,True,401885.6903598282,0.7318329243163583,405461.5592712833,0.7324241189728685,0.008819255067932538,0.0008071752980217628
101,4,0.025,-2737084.0882279025,-2083627.468304881,1599714.3805991565,-548896.252581672,-2569236.6010702145,2083079.4194626515,0.26800402431589154,0.11625213802692703,True,True,349981.1055265362,0.747154640470986,364285.16493131575,0.7545887715722152,0.03926610463941494,0.009851897326460139
101,4,0.05,-2860882.0824509435,-1891673.1356681609,1488612.3169758234,-1548884.8068130226,-2710225.066304427,2396941.14281234,0.06584961977963781,0.048202833322717735,True,True,428453.40504046343,0.8190344504824848,441544.8751574887,0.8119707005428363,0.029649240323207992,0.00869951333825977
101,4,0.1,-2967434.2956625735,-2341131.002836746,1541218.5296788092,-1580151.8402651465,-2530528.3781404644,2513864.1679932643,0.05840526145371922,0.012041644471355806,True,True,458443.3546971438,0.7893786715996843,462000.31725631584,0.7800510169409607,0.007699047871429666,0.011957749501183751
151,2,-0.1,-3002701.918276241,-2503450.4015572523,1519495.0896676083,-783772.963929511,-2517297.4830089,2129461.3270706334,0.22882119575065268,0.10441446309833799,True,True,394929.3596068528,0.7629670721319178,461989.3787486549,0.8007638851440457,0.14515489365457052,0.04720094613823499
151,2,-0.05,-2878488.377838435,-2342486.1597030982,1483346.3700032905,-760126.8844589433,-2605304.1942904023,2131469.6605583816,0.22021814473186002,0.10319102474084647,True,True,378733.08112468256,0.7645273595912719,453596.2041634908,0.8002548011242042,0.1650435394997819,0.044645082394684905
